	Genes	Var_Importance	logFC	AveExpr	t	P.Value	adj.P.Val	B
76	CCR5	100	-1.14799786056501	0.244146109935865	-9.89463783297103	8.92074464453384e-17	5.43273348852111e-14	27.6741680332201
99	CD3G	90.0721283260026	-1.15444709624215	0.234906471150409	-8.87780861949539	1.76324175299195e-14	1.45147050942192e-12	22.4735595284957
426	PIK3CG	82.4813385545735	-1.3452258104787	0.189288717251642	-9.11967466038568	5.03653829326038e-15	7.66812955148892e-13	23.705773385613
109	CD84	80.253849802541	-1.30044683958168	0.188528153715428	-8.93546234377849	1.3084331040268e-14	1.3280596005872e-12	22.7668968727444
571	TNFSF8	66.8756016071697	-1.28827523133721	0.116313134363675	-8.72748209770402	3.83361338644077e-14	2.59407839149159e-12	21.7099936487459
337	LAX1	64.3099502889322	-1.14016265243376	0.200051804289926	-7.80123137407868	4.35811010271165e-12	1.47449391808411e-10	17.0607732952679
462	PTPN22	63.1176952547029	-1.17327078781803	0.138034883606822	-8.5183939402703	1.12549332795539e-13	6.85425436724834e-12	20.651427078033
193	EVI2B	61.9264064902378	-0.960746513511987	0.200403901959089	-8.03099115980787	1.36070093680295e-12	5.91904907509285e-11	18.2032627660787
512	SLAMF1	61.4625531180554	-0.914185518065665	0.277858581562098	-7.92012997874711	2.38842901680421e-12	9.09095794521104e-11	17.650961085384
86	CD226	61.3915870825116	-1.31732526513678	0.198903072519923	-9.54348741822385	5.56214874841409e-16	1.53377662105029e-13	25.8732445847512
568	TNFRSF9	60.5047390640565	-1.3006470691698	0.20173254397594	-9.48465712521641	7.55554985739061e-16	1.53377662105029e-13	25.5718838921787
422	PDCD1LG2	60.0233476313636	-1.31843456097233	0.169701981046985	-8.86268474676381	1.90669360843602e-14	1.45147050942192e-12	22.3966538844783
569	TNFSF13B	58.8160843350657	-1.17413109984804	0.176704261576567	-6.02797629637289	2.40471740866542e-08	2.06263788996794e-07	8.63501187182256
381	MST1	57.8886171142862	1.24096564912445	0.0195634088500772	7.08745269167917	1.52940560229726e-10	3.10469337266345e-09	13.5734504147271
556	TLR8	57.8722350183392	-1.35282776467912	0.204430333071134	-9.02752724128163	8.12181736202445e-15	9.89237354694578e-13	23.2358313369724
25	APOBEC3C	56.6024984961538	-1.03499220710316	0.114285896847308	-6.05093310075359	2.1628059504837e-08	1.88752120040915e-07	8.73822052712561
554	TLR6	56.3256785551177	-1.34917071450715	0.137878675545094	-6.93834726343151	3.17345346265258e-10	5.0858767335669e-09	12.8591264553634
377	MNDA	56.1802280557744	-1.17594446631573	0.261594508056463	-8.10408695826426	9.38089060798088e-13	4.39458644635412e-11	18.5684206454525
74	CCR2	56.0715765133287	-0.932689417572536	0.267573543689564	-7.33565614937813	4.48818933888132e-11	1.09332292295149e-09	14.7741674073912
492	SAMSN1	56.0045653500482	-1.11207106936283	0.231174513569771	-8.12570845486776	8.40248637018744e-13	4.26426183287013e-11	18.6765793354725
224	GAB3	54.2378262171712	-0.896394862530866	0.145518197245304	-6.01880040919403	2.50869103132403e-08	2.12193449732824e-07	8.5938125616613
248	GZMH	53.9991572614876	-0.783148877453698	0.194031985265965	-4.43232496364528	2.26559537359305e-05	9.58158043415395e-05	2.01909274099007
290	IL21R	53.6554564824341	-1.01144172752025	0.218847698009553	-7.73062067472153	6.22234089130714e-12	1.89470280140302e-10	16.711393641324
279	IL12RB1	53.5265996588958	-1.00240373810239	0.252154661005922	-6.9497961888005	3.00103603463913e-10	4.93954309485198e-09	12.9137783062938
89	CD274	51.6117220005452	-1.22448597745428	0.204237110475872	-6.96938372728812	2.72729788351262e-10	4.72685031940614e-09	13.0073573530747
292	IL2RB	50.906276861219	-0.953908176776995	0.211635688522959	-7.26481368605346	6.37705408733431e-11	1.49370228430254e-09	14.4300463679465
